Player,Country,Age,Role,Batting_Style,Bowling_Style,Capped_Status,Reserve_Price_Lakh,Set_Type,Reserve_Price_Cr,Expected_Price_Cr
Atif Mushtaq India,JKCA,23,BOWLER,LHB,RIGHT ARM Fast Medium,Uncapped,30,UFA5,0.3,0.42
Atal Rai India,RSPB,26,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30,UFA5,0.3,0.42
C.Rakshann Readdi India,HYCA,25,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30,UFA5,0.3,0.42
Manish Reddy India,HYCA,27,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30,UFA5,0.3,0.42
Nishanth Saranu India,HYCA,21,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30,UFA5,0.3,0.42
Deependra Singh India,RCA,20,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30,UFA5,0.3,0.42
Rajat Verma India,HPCA,28,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30,UFA5,0.3,0.42
Rohit Yadav India,DDCA,26,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30,UFA5,0.3,0.42
Emanjot Chahal India,PCA,21,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,Uncapped,30,UAL6,0.3,0.42
Shubhang Hegde India,KSCA,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30,UAL6,0.3,0.42
Bal Krishna India,JSCA,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30,UAL6,0.3,0.42
Vihaan Malhotra India,PCA,19,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,Uncapped,30,UAL6,0.3,0.42
Khilan Patel India,GUCA,19,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30,UAL6,0.3,0.42
Delano Potgieter South,Africa,29,ALL-ROUNDER,LHB,RIGHT ARM Medium,Uncapped,30,UAL6,0.3,0.42
Hardik Raj India,KSCA,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30,UAL6,0.3,0.42
Sarthak Ranjan India,DDCA,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30,UAL6,0.3,0.42
Parth Rekhade India,VCA,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30,UAL6,0.3,0.42
Tiaan Van Vuuren South,Africa,24,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,Uncapped,30,UAL6,0.3,0.42
Shreevatsha Acharya India,KSCA,24,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30,UFA6,0.3,0.42
Sadek Hussain India,ACA,24,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30,UFA6,0.3,0.42
Shubham Kapse India,VCA,31,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30,UFA6,0.3,0.42
Aaqib Khan India,UPCA,22,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,30,UFA6,0.3,0.42
Sabir Khan India,BICA,25,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30,UFA6,0.3,0.42
Bayanda Majola South,Africa,19,BOWLER,LHB,RIGHT ARM Fast,Uncapped,30,UFA6,0.3,0.42
Srihari Nair India,KCA,23,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30,UFA6,0.3,0.42
Brijesh Sharma India,CAB,27,BOWLER,RHB,RIGHT ARM Fast,Uncapped,30,UFA6,0.3,0.42
Aman Shekhawat India,RCA,25,BOWLER,RHB,LEFT ARM Fast Medium,Uncapped,30,UFA6,0.3,0.42
Himanshu Bisht India,CAU,29,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Uncapped,30,UAL7,0.3,0.42
Shreyan Chakraborty India,CAB,29,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,Uncapped,30,UAL7,0.3,0.42
Kanishk Chouhan India,HCA,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30,UAL7,0.3,0.42
Mayank Gusain India,DDCA,24,ALL-ROUNDER,RHB,RIGHT ARM Fast,Uncapped,30,UAL7,0.3,0.42
Akash Pugazhanthi India,CAP,22,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,Uncapped,30,UAL7,0.3,0.42
Abhimanyusingh Rajput India,BCA,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30,UAL7,0.3,0.42
Shubham Rana India,PCA,19,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,Uncapped,30,UAL7,0.3,0.42
Arpit Rana India,DDCA,22,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,Uncapped,30,UAL7,0.3,0.42
Maramreddy Reddy India,ACA,23,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Uncapped,30,UAL7,0.3,0.42
Sagar Solanki India,MPCA,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30,UAL7,0.3,0.42
Aryaman Singh Dhaliwal India,HPCA,23,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,Uncapped,30,UAL8,0.3,0.42
Daksh Kamra India,HCA,23,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Uncapped,30,UAL8,0.3,0.42
Vishal Mandwal India,HCA,29,ALL-ROUNDER,RHB,RIGHT ARM Fast,Uncapped,30,UAL8,0.3,0.42
Arfaz Mohammad India,HYCA,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30,UAL8,0.3,0.42
Hemang Patel India,GUCA,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30,UAL8,0.3,0.42
Mridul Surroch India,HPCA,22,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30,UAL8,0.3,0.42
Anuj Thakral India,HCA,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30,UAL8,0.3,0.42
Parth Vats India,HCA,22,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,Uncapped,30,UAL8,0.3,0.42
Lalit Yadav India,GCA,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30,UAL8,0.3,0.42
Nitin Sai Yadav India,HYCA,21,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,Uncapped,30,UAL8,0.3,0.42
Krish Bhagat India,PCA,21,ALL-ROUNDER,RHB,RIGHT ARM Fast,Uncapped,30,UAL9,0.3,0.42
Prerit Dutta India,PCA,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30,UAL9,0.3,0.42
Sammar Gajjar India,SCA,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30,UAL9,0.3,0.42
Nasir Lone India,JKCA,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30,UAL9,0.3,0.42
Ishan Mulchandani India,MCA,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30,UAL9,0.3,0.42
Akhil Scaria India,KCA,27,ALL-ROUNDER,LHB,RIGHT ARM Medium,Uncapped,30,UAL9,0.3,0.42
Muhammed Sharafuddeen India,KCA,31,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30,UAL9,0.3,0.42
K.Ajay Singh India,RCA,32,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30,UAL9,0.3,0.42
Ritik Tada India,MPCA,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30,UAL9,0.3,0.42
Luckyrajsinh Vaghela India,SCA,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30,UAL9,0.3,0.42
Mohamed Ali India,TNCA,21,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30,UAL10,0.3,0.42
Madhav Bajaj India,KSCA,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30,UAL10,0.3,0.42
Akshu Bajwa India,UPCA,20,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,Uncapped,30,UAL10,0.3,0.42
Varun Raj Singh Bisht India,VCA,22,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,30,UAL10,0.3,0.42
Rishabh Chauhan India,MPCA,26,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,Uncapped,30,UAL10,0.3,0.42
Jack Edwards,Australia,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,50,UAL10,0.5,0.7
Dian Forrester South,Africa,25,ALL-ROUNDER,LHB,RIGHT ARM Medium,Uncapped,30,UAL10,0.3,0.42
Dhurmil Matkar India,MCA,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,30,UAL10,0.3,0.42
Shiva Singh India,UPCA,26,ALL-ROUNDER,RHB,LEFT ARM Slow Unorthodox,Uncapped,30,UAL10,0.3,0.42
Parikshit Valsangkar India,MCA,31,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Uncapped,30,UAL10,0.3,0.42
Mani Sankar Mura Singh India,TCA,33,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,Uncapped,30,UAL10,0.3,0.42
Chama Milind India,HYCA,31,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,Uncapped,30,UAL10,0.3,0.42
Eathan Bosch South,Africa,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium 1,Capped,75,AL4,0.75,1.5
Chris Green,Australia,32,ALL-ROUNDER,RHB,RIGHT ARM Off Spin 1,Capped,75,AL4,0.75,1.5
Swastik Chikara India,UPCA,20,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30,UBA4,0.3,0.42
Rahul Raj Namala India,CAU,25,BATTER,RHB,RIGHT ARM Off Spin,Uncapped,30,UBA4,0.3,0.42
Virat Singh India,JSCA,28,BATTER,LHB,RIGHT ARM Off Spin,Uncapped,30,UBA4,0.3,0.42
Tripuresh Singh India,MPCA,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,30,UAL10,0.3,0.42
Kyle Verreynne South,Africa,28,WICKETKEEPER,RHB,RIGHT ARM Off Spin 31 19,Uncapped,125,WK2,1.25,1.75
Blessing Muzarabani,Zimbabwe,30,BOWLER,RHB,RIGHT ARM Fast 18 57 83,Capped,75,FA5,0.75,1.5
Ben Sears New,Zealand,28,BOWLER,RHB,RIGHT ARM Fast 1 4 22,Capped,150,FA5,1.5,3.0
Rajesh Mohanty India,OCA,25,BOWLER,LHB,RIGHT ARM Fast Medium,Uncapped,30,UFA6,0.3,0.42
Swastik Samal India,OCA,25,BATTER,RHB,RIGHT ARM Medium,Uncapped,30,UBA4,0.3,0.42
Saransh Jain India,MPCA,33,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,Uncapped,30,UAL10,0.3,0.42
Tanmay Agarwal India,HYCA,30,BATTER,LHB,RIGHT ARM Leg Spin 0,Uncapped,30,UBA4,0.3,0.42
